,Unnamed: 0,YEAR,State_code,State,TopicType,Type of smoking,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,pct of young people,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder,Period
2692,2692,2002,OH,Ohio,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,11.8,,,1.7,8.5,15.1,525.0,Male,All Races,All Ages,High School,"(40.060210141, -82.404260056)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10,1.0
2693,2693,2004,DE,Delaware,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,50.1,,,2.6,45.0,55.3,441.0,Overall,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4,1.0
2694,2694,2003,SD,South Dakota,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,43.8,,,4.7,34.6,52.9,213.0,Male,All Races,All Ages,High School,"(44.353130053, -100.373530637)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,1.0
2695,2695,2011,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.5,,,0.2,0.2,0.8,2557.0,Female,All Races,All Ages,High School,"(35.466220975, -79.159250463)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12,3.0
2696,2696,2015,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,22.8,,,2.3,18.3,27.3,781.0,Male,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10,3.0
2697,2697,2013,WV,West Virginia,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,71.4,,,5.6,60.5,82.3,71.0,Female,All Races,All Ages,Middle School,"(38.665510202, -80.712640135)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6,3.0
2698,2698,2003,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.8,,,0.3,0.2,1.4,1155.0,Male,All Races,All Ages,Middle School,"(41.708280193, -71.522470314)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12,1.0
2699,2699,2010,KY,Kentucky,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,48.3,,,3.4,41.6,55.0,355.0,Female,All Races,All Ages,High School,"(37.645970271, -84.774971048)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3,2.0
2700,2700,2007,OK,Oklahoma,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,60.3,,,6.1,48.4,72.2,91.0,Female,All Races,All Ages,Middle School,"(35.472031356, -97.521070214)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,2.0
2701,2701,2002,IA,Iowa,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,2.5,,,0.4,1.8,3.3,1613.0,Overall,All Races,All Ages,Middle School,"(42.469400913, -93.816490556)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10,1.0
2702,2702,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,0.1,,,0.1,0.0,0.3,1062.0,Female,All Races,All Ages,Middle School,"(21.304850435, -157.857749403)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9,3.0
2703,2703,2015,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.4,,,0.2,0.1,0.7,1111.0,Male,All Races,All Ages,Middle School,"(21.304850435, -157.857749403)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12,3.0
2704,2704,2008,LA,Louisiana,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,48.6,,,4.8,39.1,58.1,102.0,Male,All Races,All Ages,High School,"(31.312660644, -92.445680071)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,2.0
2705,2705,2009,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,5.9,,,1.4,3.1,8.7,1616.0,Female,All Races,All Ages,Middle School,"(44.353130053, -100.373530637)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7,2.0
2706,2706,2011,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,26.8,,,4.3,18.4,35.2,391.0,Male,All Races,All Ages,High School,"(31.312660644, -92.445680071)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7,3.0
2707,2707,2002,MS,Mississippi,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,57.2,,,3.6,50.1,64.2,227.0,Male,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,1.0
2708,2708,2009,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,7.5,,,1.2,5.1,9.9,3329.0,Overall,All Races,All Ages,Middle School,"(44.353130053, -100.373530637)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11,2.0
2709,2709,1999,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,73.8,,,2.0,69.8,77.8,729.0,Male,All Races,All Ages,High School,"(35.68094058, -85.774490914)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8,1.0
2710,2710,2006,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,4.4,,,0.7,3.0,5.8,833.0,Female,All Races,All Ages,Middle School,"(42.469400913, -93.816490556)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7,2.0
2711,2711,2005,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.3,,,0.1,0.1,0.6,1269.0,Female,All Races,All Ages,Middle School,"(41.708280193, -71.522470314)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12,2.0
2712,2712,2001,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,11.4,,,1.3,8.8,13.9,1962.0,Female,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9,1.0
2713,2713,2010,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,15.3,,,1.7,12.0,18.6,867.0,Male,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7,2.0
2714,2714,2005,HI,Hawaii,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(21.304850435, -157.857749403)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2,2.0
2715,2715,2008,OH,Ohio,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,17.2,,,2.0,13.2,21.2,669.0,Male,All Races,All Ages,High School,"(40.060210141, -82.404260056)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10,2.0
2716,2716,2004,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,3.7,,,0.7,2.3,5.2,1194.0,Female,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10,1.0
2717,2717,2008,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.1,,,0.1,0.0,0.3,1514.0,Female,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12,2.0
2718,2718,2003,MI,Michigan,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,7.6,,,1.0,5.6,9.5,1863.0,Female,All Races,All Ages,Middle School,"(44.661319543001, -84.71439027)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7,1.0
2719,2719,2006,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,1.9,,,0.6,0.7,3.1,703.0,Male,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,2.0
2720,2720,2007,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,3.5,,,1.1,1.3,5.7,1313.0,Female,All Races,All Ages,Middle School,"(44.353130053, -100.373530637)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10,2.0
2721,2721,2000,IA,Iowa,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,6.3,,,1.1,4.1,8.4,705.0,Male,All Races,All Ages,High School,"(42.469400913, -93.816490556)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12,1.0
2722,2722,2013,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,30.0,,,2.4,25.3,34.7,1788.0,Overall,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8,3.0
2723,2723,2010,AL,Alabama,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2,2.0
2724,2724,2010,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,4.4,,,0.6,3.3,5.5,2067.0,Overall,All Races,All Ages,Middle School,"(39.766910452, -86.149960194)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7,2.0
2725,2725,1999,NC,North Carolina,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,54.2,,,3.4,47.5,60.9,305.0,Female,All Races,All Ages,Middle School,"(35.466220975, -79.159250463)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,1.0
2726,2726,2000,KY,Kentucky,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.7,,,0.4,0.0,1.5,607.0,Female,All Races,All Ages,High School,"(37.645970271, -84.774971048)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12,1.0
2727,2727,2011,LA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,1.0,,,0.2,0.6,1.4,1344.0,Overall,All Races,All Ages,Middle School,"(31.312660644, -92.445680071)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12,3.0
2728,2728,2007,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,13.2,,,2.1,9.0,17.4,580.0,Male,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9,2.0
2729,2729,2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,5.9,,,1.0,3.9,7.9,1904.0,Overall,All Races,All Ages,High School,"(32.839681093, -83.627580346)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9,2.0
2730,2730,2000,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,1.9,,,0.7,0.5,3.4,983.0,Female,All Races,All Ages,Middle School,"(34.86597028, -111.763811277)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9,1.0
2731,2731,2007,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.7,,,0.3,0.2,1.2,2228.0,Overall,All Races,All Ages,Middle School,"(34.86597028, -111.763811277)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12,2.0
2732,2732,2002,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,3.3,,,0.7,2.0,4.7,1209.0,Female,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10,1.0
2733,2733,2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,45.5,,,2.0,41.7,49.4,4569.0,Male,All Races,All Ages,High School,"(35.68094058, -85.774490914)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11,1.0
2734,2734,2004,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,21.3,,,1.0,19.4,23.2,3335.0,Overall,All Races,All Ages,High School,"(39.766910452, -86.149960194)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7,1.0
2735,2735,2012,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,3.9,,,0.6,2.8,5.0,1133.0,Female,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11,3.0
2736,2736,2013,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,8.1,,,0.9,6.3,9.9,1646.0,Overall,All Races,All Ages,Middle School,"(38.3477403, -98.200781227)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,3.0
2737,2737,2001,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,6.4,,,0.7,5.0,7.7,4607.0,Overall,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11,1.0
2738,2738,2013,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,3.4,,,1.2,1.1,5.7,826.0,Female,All Races,All Ages,High School,"(40.485010283, -88.997710178)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9,3.0
2739,2739,2014,MS,Mississippi,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,54.9,,,5.8,43.4,66.3,80.0,Male,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,3.0
2740,2740,2007,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,16.1,,,2.0,12.2,20.0,918.0,Female,All Races,All Ages,High School,"(34.86597028, -111.763811277)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7,2.0
2741,2741,2015,HI,Hawaii,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(21.304850435, -157.857749403)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5,3.0
2742,2742,2006,SC,South Carolina,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,48.8,,,5.6,37.9,59.7,103.0,Overall,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1,2.0
2743,2743,2000,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,15.6,,,1.9,11.9,19.3,755.0,Female,All Races,All Ages,High School,"(44.353130053, -100.373530637)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9,1.0
2744,2744,2013,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,2.1,,,0.3,1.6,2.6,965.0,Male,All Races,All Ages,Middle School,"(40.485010283, -88.997710178)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7,3.0
2745,2745,2002,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,7.8,,,0.3,7.2,8.4,19197.0,Female,All Races,All Ages,High School,"(39.290580964, -76.609260111)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9,1.0
2746,2746,2012,AL,Alabama,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,46.2,,,5.2,36.0,56.4,128.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,3.0
2747,2747,2010,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,10.0,,,1.4,7.2,12.8,583.0,Female,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11,2.0
2748,2748,2000,WY,Wyoming,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,62.9,,,5.3,52.5,73.2,92.0,Female,All Races,All Ages,Middle School,"(43.235541343, -108.109830353)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,1.0
2749,2749,2005,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.8,,,0.5,0.0,1.8,718.0,Female,All Races,All Ages,High School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12,2.0
2750,2750,2009,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.2,,,0.2,0.0,0.6,788.0,Female,All Races,All Ages,Middle School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12,2.0
2751,2751,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,10.1,,,1.1,8.0,12.2,1033.0,Female,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7,3.0
2752,2752,2014,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,6.8,,,1.0,4.8,8.8,901.0,Male,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8,3.0
2753,2753,2000,NY,New York,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Current,%,Percentage,9.8,,,2.7,4.5,15.1,994.0,Male,All Races,All Ages,Middle School,"(42.827001032, -75.543970427)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7,1.0
2754,2754,2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,21.1,,,1.9,17.4,24.8,1055.0,Female,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8,3.0
2755,2755,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,37.4,,,1.9,33.7,41.1,1580.0,Overall,All Races,All Ages,High School,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8,3.0
2756,2756,2014,MS,Mississippi,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2,3.0
2757,2757,1999,NJ,New Jersey,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,49.5,,,2.8,44.1,54.9,813.0,Female,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6,1.0
2758,2758,2013,NE,Nebraska,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,70.6,,,3.1,64.5,76.7,242.0,Overall,All Races,All Ages,High School,"(41.641040988001, -99.365720623)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4,3.0
2759,2759,2006,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,7.4,,,1.0,5.4,9.4,1723.0,Overall,All Races,All Ages,High School,"(44.393191174, -89.816370742)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10,2.0
2760,2760,2001,ME,Maine,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,55.1,,,4.1,47.0,63.1,472.0,Female,All Races,All Ages,Middle School,"(45.254228894001, -68.985031336)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3,1.0
2761,2761,2009,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,0.8,,,0.3,0.2,1.4,956.0,Female,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12,2.0
2762,2762,2015,ND,North Dakota,Tobacco Use – Survey Data,Cessation,Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,53.0,,,6.4,40.4,65.6,98.0,Male,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2,3.0
2763,2763,1999,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,68.9,,,1.6,65.8,72.0,1882.0,Overall,All Races,All Ages,High School,"(35.472031356, -97.521070214)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8,1.0
2764,2764,2003,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,19.5,,,2.1,15.4,23.7,704.0,Male,All Races,All Ages,Middle School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11,1.0
2765,2765,2000,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,1.6,,,0.6,0.6,2.7,844.0,Female,All Races,All Ages,High School,"(21.304850435, -157.857749403)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10,1.0
2766,2766,2016,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,1.0,,,0.3,0.3,1.7,987.0,Female,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10,3.0
2767,2767,2000,NY,New York,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,3.8,,,1.2,1.3,6.2,1993.0,Overall,All Races,All Ages,Middle School,"(42.827001032, -75.543970427)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11,1.0
2768,2768,2001,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,10.1,,,1.9,6.5,13.8,1197.0,Male,All Races,All Ages,Middle School,"(44.353130053, -100.373530637)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10,1.0
2769,2769,2000,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,60.1,,,2.6,55.0,65.1,609.0,Male,All Races,All Ages,High School,"(21.304850435, -157.857749403)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8,1.0
2770,2770,2006,WI,Wisconsin,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,56.4,,,3.2,50.1,62.7,297.0,Overall,All Races,All Ages,High School,"(44.393191174, -89.816370742)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4,2.0
2771,2771,2013,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Current,%,Percentage,1.0,,,0.4,0.2,1.8,910.0,Female,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10,3.0
2772,2772,2005,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,13.3,,,1.8,9.7,16.8,566.0,Male,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9,2.0
2773,2773,2009,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,4.8,,,0.9,3.1,6.5,784.0,Female,All Races,All Ages,Middle School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11,2.0
2774,2774,2016,AL,Alabama,Tobacco Use – Survey Data,Cessation,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,68.9,,,5.8,57.5,80.3,76.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4,3.0
2775,2775,2015,NE,Nebraska,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,4.6,,,0.8,3.0,6.2,1185.0,Female,All Races,All Ages,High School,"(41.641040988001, -99.365720623)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11,3.0
